time,team,site,odds
2020-12-28 21:32:13.827959,Tennessee Titans,unibet,1.27
2020-12-28 21:32:13.827960,Tennessee Titans,betrivers,1.27
2020-12-28 21:32:13.827962,Tennessee Titans,gtbets,1.28
2020-12-28 21:32:13.827963,Tennessee Titans,bovada,1.28
2020-12-28 21:32:13.827964,Tennessee Titans,betfair,1.29
2020-12-28 21:32:13.827968,Tennessee Titans,pointsbetus,1.27
2020-12-28 21:32:13.827969,Tennessee Titans,betmgm,1.29
2020-12-28 21:32:13.827971,Indianapolis Colts,williamhill_us,1.09
2020-12-28 21:32:13.827973,Indianapolis Colts,lowvig,1.1
2020-12-28 21:32:13.827974,Indianapolis Colts,betonlineag,1.1
2020-12-28 21:32:13.827976,Indianapolis Colts,fanduel,1.11
2020-12-28 21:32:13.827977,Indianapolis Colts,sugarhouse,1.1
2020-12-28 21:32:13.827978,Indianapolis Colts,unibet,1.1
2020-12-28 21:32:13.827980,Indianapolis Colts,betrivers,1.1
2020-12-28 21:32:13.827981,Indianapolis Colts,draftkings,1.1
2020-12-28 21:32:13.827983,Indianapolis Colts,pointsbetus,1.1
2020-12-28 21:32:13.827984,Indianapolis Colts,bookmaker,1.09
2020-12-28 21:32:13.827986,Indianapolis Colts,bovada,1.08
2020-12-28 21:32:13.827987,Indianapolis Colts,betmgm,1.09
2020-12-28 21:32:13.827989,Indianapolis Colts,gtbets,1.1
2020-12-28 21:32:13.827990,Indianapolis Colts,betfair,1.12
2020-12-28 21:32:13.827992,Jacksonville Jaguars,williamhill_us,8.0
2020-12-28 21:32:13.827993,Jacksonville Jaguars,lowvig,7.6
2020-12-28 21:32:13.827995,Jacksonville Jaguars,betonlineag,7.6
2020-12-28 21:32:13.827996,Jacksonville Jaguars,fanduel,7.1
2020-12-28 21:32:13.827997,Jacksonville Jaguars,sugarhouse,7.5
2020-12-28 21:32:13.827999,Jacksonville Jaguars,unibet,7.5
2020-12-28 21:32:13.828000,Jacksonville Jaguars,betrivers,7.5
2020-12-28 21:32:13.828002,Jacksonville Jaguars,draftkings,7.5
2020-12-28 21:32:13.828006,Jacksonville Jaguars,pointsbetus,7.8
2020-12-28 21:32:13.828007,Jacksonville Jaguars,bookmaker,8.11
2020-12-28 21:32:13.828008,Jacksonville Jaguars,bovada,8.0
2020-12-28 21:32:13.828010,Jacksonville Jaguars,betmgm,8.25
2020-12-28 21:32:13.828011,Jacksonville Jaguars,gtbets,8.3
2020-12-28 21:32:13.828013,Jacksonville Jaguars,betfair,8.2
2020-12-28 21:32:13.828015,San Francisco 49ers,betonlineag,2.9
2020-12-28 21:32:13.828016,San Francisco 49ers,lowvig,2.9
2020-12-28 21:32:13.828020,San Francisco 49ers,fanduel,2.9
2020-12-28 21:32:13.828021,San Francisco 49ers,unibet,2.75
2020-12-28 21:32:13.828023,San Francisco 49ers,sugarhouse,2.75
2020-12-28 21:32:13.828024,San Francisco 49ers,betrivers,2.75
2020-12-28 21:32:13.828025,San Francisco 49ers,draftkings,2.75
2020-12-28 21:32:13.828027,San Francisco 49ers,betmgm,2.65
2020-12-28 21:32:13.828028,San Francisco 49ers,betfair,3.0
2020-12-28 21:32:13.828030,San Francisco 49ers,bookmaker,2.84
2020-12-28 21:32:13.828031,San Francisco 49ers,pointsbetus,2.8
2020-12-28 21:32:13.828032,San Francisco 49ers,gtbets,2.95
2020-12-28 21:32:13.828034,San Francisco 49ers,williamhill_us,2.9
2020-12-28 21:32:13.828035,San Francisco 49ers,bovada,2.85
2020-12-28 21:32:13.828037,Seattle Seahawks,betonlineag,1.45
2020-12-28 21:32:13.828038,Seattle Seahawks,lowvig,1.46
2020-12-28 21:32:13.828040,Seattle Seahawks,fanduel,1.43
2020-12-28 21:32:13.828041,Seattle Seahawks,unibet,1.47
2020-12-28 21:32:13.828045,Seattle Seahawks,sugarhouse,1.47
2020-12-28 21:32:13.828046,Seattle Seahawks,betrivers,1.47
2020-12-28 21:32:13.828048,Seattle Seahawks,draftkings,1.47
2020-12-28 21:32:13.828049,Seattle Seahawks,betmgm,1.5
2020-12-28 21:32:13.828050,Seattle Seahawks,betfair,1.45
2020-12-28 21:32:13.828052,Seattle Seahawks,bookmaker,1.45
2020-12-28 21:32:13.828053,Seattle Seahawks,pointsbetus,1.44
2020-12-28 21:32:13.828055,Seattle Seahawks,gtbets,1.44
2020-12-28 21:32:13.828056,Seattle Seahawks,williamhill_us,1.45
